enrollmentId,score
1,79.43
2,61.33
3,69.77
4,92.94
5,95.77
6,86.5
7,64.84
8,70.21
9,96.0
10,82.52
11,76.13
12,86.81
13,70.45
14,71.88
15,69.26
16,88.69
17,93.03
18,78.87
19,94.14
20,94.91
21,90.39
22,68.9
23,83.43
24,92.93
25,65.27
26,76.41
27,73.05
28,63.88
29,90.71
30,70.69
31,94.03
32,74.9
33,79.08
34,61.58
35,94.32
36,66.47
37,83.23
38,95.1
39,95.64
40,82.4
41,90.86
42,66.96
43,98.6
44,74.39
45,80.78
46,77.33
47,71.59
48,81.56
49,70.89
50,79.77
51,72.56
52,93.41
53,65.02
54,67.44
55,70.55
56,99.9
57,93.65
58,75.03
59,63.24
60,80.65
61,92.61
62,60.03
63,63.08
64,85.21
65,88.68
66,78.11
67,98.41
68,71.72
69,67.5
70,79.03
71,69.73
72,77.36
73,76.59
74,60.72
75,65.13
76,83.49
77,63.31
78,71.03
79,97.91
80,61.07
81,96.79
82,69.39
83,83.36
84,78.08
85,68.17
86,81.17
87,68.55
88,64.15
89,70.29
90,62.82
91,97.7
92,73.77
93,90.18
94,76.59
95,75.6
96,68.89
97,83.12
98,88.51
99,74.98
100,83.1
101,88.57
102,74.03
103,65.52
104,76.37
105,74.55
106,76.74
107,61.28
108,60.02
109,65.42
110,73.02
111,63.12
112,65.32
113,71.81
114,67.85
115,66.54
116,97.74
117,82.91
118,93.36
119,95.14
120,78.1
121,85.57
122,62.05
123,84.34
124,80.83
125,99.92
126,63.39
127,95.17
128,87.08
129,98.31
130,70.46
131,88.75
132,64.23
133,86.42
134,60.23
135,76.02
136,72.27
137,88.22
138,91.08
139,99.66
140,64.43
141,70.57
142,66.18
143,91.65
144,87.01
145,78.56
146,72.19
147,79.54
148,86.87
149,93.7
150,95.14
151,60.02
152,61.19
153,93.47
154,66.71
155,82.57
156,99.5
157,77.01
158,97.4
159,62.59
160,75.58
161,96.09
162,95.9
163,69.43
164,63.84
165,62.55
166,68.36
167,93.92
168,81.31
169,94.85
170,83.75
171,72.29
172,99.74
173,94.42
174,89.84
175,71.73
176,60.19
177,96.59
178,76.6
179,63.83
180,77.21
181,77.92
182,63.54
183,76.64
184,83.46
185,71.3
186,89.22
187,68.14
188,77.32
189,93.36
190,94.56
191,89.31
192,62.33
193,73.5
194,83.54
195,72.0
196,99.85
197,87.4
198,88.74
199,67.71
200,78.22
201,76.41
202,75.26
203,95.12
204,69.1
205,97.74
206,95.36
207,61.74
208,88.02
209,91.04
210,96.66
211,99.19
212,85.34
213,99.26
214,88.49
215,89.71
216,74.74
217,96.32
218,96.52
219,97.68
220,62.94
221,83.29
222,63.47
223,88.24
224,86.28
225,60.79
226,97.96
227,81.92
228,73.93
229,81.64
230,72.85
231,84.15
232,60.25
233,79.4
234,89.0
235,66.07
236,76.33
237,65.53
238,81.82
239,61.19
240,81.95
241,74.36
242,60.48
243,70.47
244,92.36
245,60.42
246,99.46
247,87.04
248,60.6
249,87.29
250,73.43
251,69.39
252,74.46
253,79.94
254,83.31
255,62.52
256,88.12
257,99.43
258,73.15
259,72.78
260,69.95
261,67.45
262,99.79
263,61.41
264,70.17
265,83.29
266,61.3
267,76.91
268,90.84
269,71.44
270,90.49
271,74.09
272,82.73
273,87.35
274,68.72
275,84.71
276,73.83
277,92.67
278,61.72
279,98.2
280,93.36
