enrollmentId,score,certificateLink
1,79.43,http://certificates.com/1
2,61.33,
3,69.77,http://certificates.com/3
4,92.94,http://certificates.com/4
5,95.77,http://certificates.com/5
6,86.5,
7,64.84,http://certificates.com/7
8,70.21,
9,96.0,http://certificates.com/9
10,82.52,
11,76.13,http://certificates.com/11
12,86.81,http://certificates.com/12
13,70.45,
14,71.88,http://certificates.com/14
15,69.26,http://certificates.com/15
16,88.69,http://certificates.com/16
17,93.03,
18,78.87,http://certificates.com/18
19,94.14,http://certificates.com/19
20,94.91,
21,90.39,
22,68.9,http://certificates.com/22
23,83.43,
24,92.93,
25,65.27,http://certificates.com/25
26,76.41,
27,73.05,http://certificates.com/27
28,63.88,http://certificates.com/28
29,90.71,
30,70.69,
31,94.03,
32,74.9,
33,79.08,
34,61.58,http://certificates.com/34
35,94.32,http://certificates.com/35
36,66.47,
37,83.23,
38,95.1,http://certificates.com/38
39,95.64,
40,82.4,
41,90.86,
42,66.96,
43,98.6,http://certificates.com/43
44,74.39,http://certificates.com/44
45,80.78,http://certificates.com/45
46,77.33,
47,71.59,http://certificates.com/47
48,81.56,http://certificates.com/48
49,70.89,
50,79.77,http://certificates.com/50
51,72.56,http://certificates.com/51
52,93.41,
53,65.02,
54,67.44,http://certificates.com/54
55,70.55,
56,99.9,http://certificates.com/56
57,93.65,
58,75.03,http://certificates.com/58
59,63.24,http://certificates.com/59
60,80.65,http://certificates.com/60
61,92.61,
62,60.03,
63,63.08,
64,85.21,
65,88.68,http://certificates.com/65
66,78.11,
67,98.41,
68,71.72,
69,67.5,
70,79.03,
71,69.73,
72,77.36,http://certificates.com/72
73,76.59,http://certificates.com/73
74,60.72,http://certificates.com/74
75,65.13,
76,83.49,
77,63.31,
78,71.03,http://certificates.com/78
79,97.91,
80,61.07,http://certificates.com/80
81,96.79,http://certificates.com/81
82,69.39,
83,83.36,http://certificates.com/83
84,78.08,http://certificates.com/84
85,68.17,
86,81.17,http://certificates.com/86
87,68.55,
88,64.15,
89,70.29,
90,62.82,
91,97.7,
92,73.77,http://certificates.com/92
93,90.18,
94,76.59,http://certificates.com/94
95,75.6,
96,68.89,http://certificates.com/96
97,83.12,http://certificates.com/97
98,88.51,http://certificates.com/98
99,74.98,http://certificates.com/99
100,83.1,
101,88.57,http://certificates.com/101
102,74.03,http://certificates.com/102
103,65.52,
104,76.37,http://certificates.com/104
105,74.55,
106,76.74,
107,61.28,http://certificates.com/107
108,60.02,http://certificates.com/108
109,65.42,
110,73.02,
111,63.12,
112,65.32,http://certificates.com/112
113,71.81,
114,67.85,http://certificates.com/114
115,66.54,http://certificates.com/115
116,97.74,
117,82.91,http://certificates.com/117
118,93.36,http://certificates.com/118
119,95.14,
120,78.1,
121,85.57,
122,62.05,http://certificates.com/122
123,84.34,
124,80.83,
125,99.92,
126,63.39,
127,95.17,
128,87.08,
129,98.31,
130,70.46,http://certificates.com/130
131,88.75,http://certificates.com/131
132,64.23,
133,86.42,
134,60.23,
135,76.02,http://certificates.com/135
136,72.27,http://certificates.com/136
137,88.22,http://certificates.com/137
138,91.08,
139,99.66,http://certificates.com/139
140,64.43,http://certificates.com/140
141,70.57,http://certificates.com/141
142,66.18,
143,91.65,
144,87.01,
145,78.56,http://certificates.com/145
146,72.19,http://certificates.com/146
147,79.54,http://certificates.com/147
148,86.87,http://certificates.com/148
149,93.7,http://certificates.com/149
150,95.14,http://certificates.com/150
151,60.02,
152,61.19,http://certificates.com/152
153,93.47,http://certificates.com/153
154,66.71,
155,82.57,
156,99.5,
157,77.01,
158,97.4,
159,62.59,http://certificates.com/159
160,75.58,http://certificates.com/160
161,96.09,
162,95.9,http://certificates.com/162
163,69.43,http://certificates.com/163
164,63.84,http://certificates.com/164
