id,title,duration,difficultyLevel,description,organizationDomainId
1,Course 1,107,Intermediate,Description for Course 1,2
2,Course 2,102,Advanced,Description for Course 2,2
3,Course 3,54,Advanced,Description for Course 3,2
4,Course 4,55,Intermediate,Description for Course 4,2
5,Course 5,50,Beginner,Description for Course 5,1
6,Course 6,37,Advanced,Description for Course 6,2
7,Course 7,77,Beginner,Description for Course 7,1
8,Course 8,110,Advanced,Description for Course 8,1
9,Course 9,47,Advanced,Description for Course 9,2
10,Course 10,88,Advanced,Description for Course 10,2
11,Course 11,42,Beginner,Description for Course 11,1
12,Course 12,114,Advanced,Description for Course 12,1
13,Course 13,54,Beginner,Description for Course 13,2
14,Course 14,118,Beginner,Description for Course 14,2
15,Course 15,41,Advanced,Description for Course 15,1
16,Course 16,51,Advanced,Description for Course 16,1
17,Course 17,45,Intermediate,Description for Course 17,2
18,Course 18,68,Advanced,Description for Course 18,2
19,Course 19,86,Intermediate,Description for Course 19,1
20,Course 20,53,Intermediate,Description for Course 20,2
21,Course 21,109,Intermediate,Description for Course 21,1
22,Course 22,74,Beginner,Description for Course 22,2
23,Course 23,41,Intermediate,Description for Course 23,1
24,Course 24,115,Advanced,Description for Course 24,1
25,Course 25,83,Advanced,Description for Course 25,1
26,Course 26,110,Beginner,Description for Course 26,2
27,Course 27,91,Intermediate,Description for Course 27,2
28,Course 28,86,Beginner,Description for Course 28,2
29,Course 29,92,Advanced,Description for Course 29,2
30,Course 30,46,Intermediate,Description for Course 30,2
31,Course 31,57,Intermediate,Description for Course 31,1
32,Course 32,64,Advanced,Description for Course 32,1
33,Course 33,74,Advanced,Description for Course 33,2
34,Course 34,81,Advanced,Description for Course 34,1
35,Course 35,56,Advanced,Description for Course 35,2
36,Course 36,36,Beginner,Description for Course 36,2
37,Course 37,92,Advanced,Description for Course 37,1
38,Course 38,72,Beginner,Description for Course 38,2
39,Course 39,102,Beginner,Description for Course 39,2
40,Course 40,68,Beginner,Description for Course 40,2
41,Course 41,115,Advanced,Description for Course 41,1
42,Course 42,61,Beginner,Description for Course 42,2
43,Course 43,115,Intermediate,Description for Course 43,1
44,Course 44,70,Beginner,Description for Course 44,1
45,Course 45,51,Intermediate,Description for Course 45,2
46,Course 46,110,Intermediate,Description for Course 46,1
47,Course 47,88,Intermediate,Description for Course 47,1
48,Course 48,37,Advanced,Description for Course 48,1
49,Course 49,62,Beginner,Description for Course 49,2
50,Course 50,87,Intermediate,Description for Course 50,2
