id,courseId,enrollmentDate,completionStatus,completionDate,lastUpdated,percentage,userId,learningPathId
1,23,2024-10-07,In Progress,,2024-10-14,47,EMP0012,10
2,18,2022-09-03,Completed,2024-07-18,2024-10-14,85,EMP0071,
3,30,2022-01-09,In Progress,,2024-10-14,46,EMP0849,
4,12,2023-09-10,Completed,2024-03-19,2024-10-14,87,EMP0819,
5,46,2020-11-08,In Progress,,2024-10-14,17,EMP0161,4
6,18,2021-07-06,In Progress,,2024-10-14,20,EMP0805,
7,4,2022-04-18,Completed,2023-11-13,2024-10-14,90,EMP0178,
8,47,2023-10-04,Completed,2024-04-01,2024-10-14,71,EMP0972,7
9,8,2023-07-09,In Progress,,2024-10-14,4,EMP0818,
10,49,2023-09-08,Completed,2023-09-27,2024-10-14,85,EMP0971,
11,16,2021-06-24,Completed,2023-04-01,2024-10-14,79,EMP0572,10
12,12,2020-07-08,Completed,2023-09-21,2024-10-14,70,EMP0402,
13,48,2023-02-02,In Progress,,2024-10-14,13,EMP0657,
14,47,2024-10-10,Completed,2024-10-10,2024-10-14,52,EMP0966,2
15,17,2020-10-25,In Progress,,2024-10-14,5,EMP0179,
16,23,2020-03-20,Completed,2020-10-16,2024-10-14,94,EMP0260,8
17,43,2024-04-29,Completed,2024-10-05,2024-10-14,77,EMP0097,6
18,31,2023-08-09,Completed,2023-08-30,2024-10-14,95,EMP0973,
19,22,2024-07-31,Completed,2024-08-07,2024-10-14,65,EMP0854,
20,31,2024-10-07,In Progress,,2024-10-14,16,EMP0037,
21,30,2022-06-18,Completed,2024-09-08,2024-10-14,85,EMP0494,5
22,12,2022-08-05,Completed,2023-12-22,2024-10-14,56,EMP0490,
23,17,2019-11-18,Completed,2021-04-04,2024-10-14,70,EMP0253,7
24,41,2020-06-25,In Progress,,2024-10-14,32,EMP0270,
25,24,2024-01-18,In Progress,,2024-10-14,50,EMP0017,6
26,47,2022-09-21,Completed,2023-09-07,2024-10-14,71,EMP0737,
27,28,2024-08-10,In Progress,,2024-10-14,19,EMP0724,8
28,9,2021-05-01,Completed,2022-03-27,2024-10-14,92,EMP0976,
29,7,2022-04-24,In Progress,,2024-10-14,40,EMP0770,
30,28,2024-06-15,In Progress,,2024-10-14,25,EMP0229,
31,13,2019-12-28,In Progress,,2024-10-14,33,EMP0245,9
32,12,2021-04-18,In Progress,,2024-10-14,42,EMP0009,
33,41,2023-01-24,Completed,2024-07-11,2024-10-14,97,EMP0158,
34,25,2024-10-06,In Progress,,2024-10-14,38,EMP0690,
35,30,2022-07-18,In Progress,,2024-10-14,12,EMP0414,9
36,31,2020-02-19,Completed,2022-04-14,2024-10-14,98,EMP0277,
37,50,2023-12-18,In Progress,,2024-10-14,8,EMP0670,6
38,47,2020-12-04,In Progress,,2024-10-14,36,EMP0447,2
39,10,2024-02-13,In Progress,,2024-10-14,11,EMP0430,
40,43,2021-10-25,In Progress,,2024-10-14,17,EMP0234,1
41,45,2021-09-15,In Progress,,2024-10-14,18,EMP0847,
42,46,2024-07-24,Completed,2024-08-12,2024-10-14,90,EMP0079,4
43,20,2020-08-30,Completed,2023-11-16,2024-10-14,93,EMP0194,3
44,13,2020-10-23,In Progress,,2024-10-14,22,EMP0490,6
45,1,2020-05-10,In Progress,,2024-10-14,33,EMP0132,1
46,10,2020-01-06,In Progress,,2024-10-14,45,EMP0265,
47,49,2024-06-11,In Progress,,2024-10-14,37,EMP0784,
48,23,2019-11-15,In Progress,,2024-10-14,13,EMP0226,1
49,1,2022-07-07,Completed,2024-08-02,2024-10-14,64,EMP0974,
50,9,2019-10-21,In Progress,,2024-10-14,48,EMP0497,10
51,25,2022-08-20,Completed,2023-12-26,2024-10-14,92,EMP0847,5
52,14,2024-06-20,In Progress,,2024-10-14,50,EMP0717,9
53,43,2023-05-18,In Progress,,2024-10-14,29,EMP0946,6
54,40,2023-04-14,In Progress,,2024-10-14,28,EMP0144,
55,44,2020-09-08,In Progress,,2024-10-14,43,EMP0050,
56,40,2022-04-24,Completed,2023-02-26,2024-10-14,69,EMP0146,7
57,38,2020-09-07,In Progress,,2024-10-14,26,EMP0060,9
58,26,2023-09-25,In Progress,,2024-10-14,37,EMP0583,4
59,3,2023-06-03,In Progress,,2024-10-14,6,EMP0315,
60,34,2024-03-26,In Progress,,2024-10-14,33,EMP0373,8
61,8,2023-04-30,In Progress,,2024-10-14,45,EMP0859,
62,3,2024-07-31,Completed,2024-08-25,2024-10-14,76,EMP0106,4
63,25,2023-03-17,In Progress,,2024-10-14,48,EMP0401,
64,31,2022-06-17,In Progress,,2024-10-14,11,EMP0766,9
65,48,2021-04-25,Completed,2024-09-19,2024-10-14,84,EMP0048,2
66,6,2023-10-21,Completed,2024-10-11,2024-10-14,58,EMP0660,
67,50,2024-09-28,In Progress,,2024-10-14,15,EMP0946,
68,50,2024-03-12,In Progress,,2024-10-14,44,EMP0552,
69,23,2020-02-17,In Progress,,2024-10-14,32,EMP0461,
70,4,2021-02-11,In Progress,,2024-10-14,16,EMP0567,10
71,47,2022-05-11,In Progress,,2024-10-14,28,EMP0325,2
72,5,2022-07-03,In Progress,,2024-10-14,11,EMP0822,
73,46,2020-04-07,Completed,2023-08-31,2024-10-14,68,EMP0892,3
74,5,2022-07-05,Completed,2023-03-09,2024-10-14,65,EMP0208,
75,7,2023-07-19,Completed,2023-10-24,2024-10-14,62,EMP0607,6
76,27,2019-12-18,In Progress,,2024-10-14,4,EMP0267,9
77,45,2020-03-21,In Progress,,2024-10-14,20,EMP0113,2
78,6,2023-06-18,Completed,2023-06-27,2024-10-14,78,EMP0646,
79,40,2023-10-16,In Progress,,2024-10-14,5,EMP0135,1
80,7,2023-10-17,Completed,2024-10-08,2024-10-14,59,EMP0661,6
81,9,2023-03-12,Completed,2023-10-19,2024-10-14,51,EMP0603,
82,17,2022-04-07,Completed,2022-08-28,2024-10-14,51,EMP0736,1
83,19,2022-09-01,Completed,2023-12-06,2024-10-14,71,EMP0857,8
84,45,2023-05-25,In Progress,,2024-10-14,28,EMP0953,7
85,17,2020-10-30,In Progress,,2024-10-14,37,EMP0931,
86,12,2021-09-25,In Progress,,2024-10-14,7,EMP0934,3
87,4,2024-08-20,In Progress,,2024-10-14,37,EMP0433,5
88,32,2022-03-31,In Progress,,2024-10-14,16,EMP0138,
89,16,2024-06-06,Completed,2024-09-14,2024-10-14,87,EMP0006,
90,14,2021-11-02,In Progress,,2024-10-14,1,EMP0112,5
